train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
 0.5780064464,  0.5049405098,  0.6048694253,  0.75382745,  0.75150079,  0.74736935,  0.74564910,  0.65691537,  0.66080874
 0.3601767123,  0.2959366143,  0.5484930277,  0.89394718,  0.89020723,  0.89508355,  0.89200407,  0.72529453,  0.72934693
 0.2348316163,  0.2147655338,  0.7681455612,  0.92884940,  0.92990506,  0.92196482,  0.92338061,  0.67691034,  0.68101466
 0.1914892197,  0.1847683191,  0.8445364237,  0.93476272,  0.93710440,  0.92979044,  0.93246114,  0.67446047,  0.67886376
 0.1673702449,  0.1643266976,  0.6733247042,  0.94368374,  0.94226766,  0.93951720,  0.93845165,  0.73848039,  0.74219030
 0.1559537351,  0.1545838118,  0.7183737159,  0.95455956,  0.95493388,  0.95074719,  0.95147675,  0.72529453,  0.72863334
 0.1479037255,  0.1500148922,  0.6759111285,  0.95487946,  0.95423973,  0.95167565,  0.95135128,  0.73837233,  0.74190754
 0.1430456936,  0.1448322684,  0.6824597716,  0.95876688,  0.95838839,  0.95543373,  0.95537049,  0.73801202,  0.74147987
 0.1422930807,  0.1444831640,  0.6743388772,  0.95802492,  0.95765734,  0.95428419,  0.95424408,  0.73866051,  0.74223286
 0.1401161253,  0.1434088647,  0.7167917490,  0.95949101,  0.96001780,  0.95499158,  0.95591992,  0.73185140,  0.73515403
 0.1413080394,  0.1438143253,  0.6979226470,  0.95891351,  0.95911789,  0.95485896,  0.95548493,  0.73433727,  0.73777908
 0.1391443908,  0.1408328563,  0.6960273981,  0.96063280,  0.96064335,  0.95768857,  0.95808274,  0.73549014,  0.73888415
 0.1417369545,  0.1413716525,  0.7240700126,  0.96011305,  0.96071720,  0.95653903,  0.95753223,  0.72932953,  0.73262882
 0.1381067932,  0.1421003938,  0.6815037727,  0.95974427,  0.95958507,  0.95636219,  0.95660001,  0.73855245,  0.74202913
 0.1378770471,  0.1431216747,  0.6779214740,  0.95865577,  0.95847118,  0.95463789,  0.95477849,  0.73894876,  0.74254590
 0.1385952681,  0.1406527907,  0.6877555251,  0.96101046,  0.96090740,  0.95839596,  0.95864421,  0.73725545,  0.74066263
 0.1381400526,  0.1413538456,  0.6833559871,  0.96086830,  0.96073186,  0.95826334,  0.95848322,  0.73718339,  0.74059224
 0.1366903186,  0.1424881071,  0.6690394282,  0.95791829,  0.95739460,  0.95472634,  0.95449340,  0.74208307,  0.74571621
