train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
 0.4952423573,  0.3529945612,  0.5205872655,  0.83769757,  0.83085471,  0.84039259,  0.83388585,  0.74244332,  0.74799633
 0.2434243262,  0.3148627877,  1.5471471548,  0.86845469,  0.87602860,  0.85595542,  0.86412233,  0.53939545,  0.54450887
 0.1724312752,  0.1829105765,  1.2088935375,  0.92800528,  0.93262190,  0.91794145,  0.92311704,  0.62103254,  0.62591434
 0.1252403706,  0.1193245128,  0.6175706983,  0.98039418,  0.98054880,  0.97488725,  0.97538173,  0.76265448,  0.76775134
 0.1008909196,  0.0922454372,  0.6955856681,  0.98943961,  0.99022257,  0.98434877,  0.98556846,  0.74399251,  0.74858695
 0.0855764225,  0.0906912833,  0.8055942059,  0.98541445,  0.98669070,  0.98036963,  0.98200065,  0.71841335,  0.72249115
 0.0796621293,  0.0809906274,  0.6957458854,  0.99388677,  0.99431580,  0.99062693,  0.99132353,  0.74410057,  0.74845892
 0.0767128840,  0.0771239921,  0.6943387985,  0.99354911,  0.99409121,  0.98991954,  0.99078417,  0.74694669,  0.75133991
 0.0748782307,  0.0773217231,  0.7105166912,  0.99210525,  0.99278206,  0.98788577,  0.98892206,  0.74597400,  0.75036228
 0.0730449706,  0.0739211142,  0.6830493808,  0.99443322,  0.99489206,  0.99124593,  0.99200326,  0.75206256,  0.75656050
 0.0731507689,  0.0772527531,  0.7142435908,  0.99131888,  0.99207717,  0.98700148,  0.98812884,  0.74593794,  0.75034440
 0.0725523159,  0.0760855973,  0.7168347836,  0.99324703,  0.99384016,  0.98943317,  0.99035090,  0.74323595,  0.74744129
 0.0772536322,  0.0769253969,  0.6920747757,  0.99145663,  0.99213487,  0.98726678,  0.98834473,  0.75613362,  0.76072305
 0.0732411891,  0.0751057118,  0.7128598690,  0.99322039,  0.99381369,  0.98938900,  0.99031681,  0.74460495,  0.74888283
 0.0723967850,  0.0743723586,  0.7105059028,  0.99355799,  0.99410731,  0.98974270,  0.99058247,  0.74557769,  0.74984318
 0.0736156777,  0.0728881285,  0.6824447513,  0.99423331,  0.99470448,  0.99102485,  0.99179906,  0.75382787,  0.75837034
 0.0730953589,  0.0758726820,  0.7176597714,  0.99284720,  0.99348778,  0.98890263,  0.98987186,  0.74201101,  0.74626309
 0.0730008557,  0.0752871558,  0.6980711222,  0.99264723,  0.99328351,  0.98863739,  0.98962033,  0.74982888,  0.75432241
 0.0726820379,  0.0747342631,  0.7094816566,  0.99339807,  0.99396592,  0.98956585,  0.99045259,  0.74626219,  0.75053978
 0.0739955306,  0.0756427348,  0.7295961976,  0.99309599,  0.99368691,  0.98921216,  0.99011099,  0.73876858,  0.74294639
 0.0711841136,  0.0761510655,  0.7074064612,  0.99251842,  0.99318308,  0.98828369,  0.98930615,  0.74593794,  0.75028771
 0.0729393512,  0.0759189501,  0.7170424461,  0.99266946,  0.99332255,  0.98877001,  0.98974937,  0.74384838,  0.74808365
 0.0723510832,  0.0765659213,  0.7044972777,  0.99208748,  0.99277884,  0.98797417,  0.98902291,  0.74759519,  0.75201416
 0.0742274672,  0.0753273219,  0.7334638238,  0.99313593,  0.99373037,  0.98921216,  0.99011183,  0.73966926,  0.74380809
 0.0749232173,  0.0737028718,  0.7214503288,  0.99416220,  0.99466026,  0.99071538,  0.99148154,  0.74226320,  0.74644053
 0.0725552589,  0.0746505931,  0.7237505913,  0.99338478,  0.99397469,  0.98956585,  0.99048173,  0.74312788,  0.74731296
 0.0718468279,  0.0753329769,  0.7085872293,  0.99274498,  0.99337763,  0.98885840,  0.98983026,  0.74673057,  0.75108957
 0.0732961819,  0.0740645379,  0.7134308219,  0.99407339,  0.99458838,  0.99058270,  0.99139738,  0.74456894,  0.74877369
 0.0732811242,  0.0755775124,  0.6905113459,  0.99289161,  0.99348623,  0.98912370,  0.99007273,  0.75224268,  0.75677806
 0.0734432116,  0.0749282539,  0.7152872086,  0.99412668,  0.99464393,  0.99062693,  0.99143994,  0.74269551,  0.74686891
 0.0720839128,  0.0770276338,  0.7061797380,  0.99156320,  0.99231648,  0.98717833,  0.98828965,  0.74608207,  0.75051200
 0.0729857087,  0.0740643963,  0.7051402330,  0.99425554,  0.99474925,  0.99098063,  0.99176073,  0.74647838,  0.75071985
 0.0751148462,  0.0735485852,  0.7236075401,  0.99468648,  0.99512362,  0.99146700,  0.99216807,  0.74121845,  0.74534941
 0.0722780600,  0.0743239000,  0.6968184710,  0.99380237,  0.99434084,  0.99018478,  0.99104416,  0.74817163,  0.75254291
 0.0732105672,  0.0747289285,  0.7005658746,  0.99336696,  0.99394226,  0.98961002,  0.99052012,  0.74827969,  0.75265735
 0.0722227767,  0.0746323019,  0.6975905299,  0.99318480,  0.99377346,  0.98938900,  0.99030852,  0.75008106,  0.75449270
 0.0737813264,  0.0763820335,  0.7033975720,  0.99319369,  0.99376386,  0.98956585,  0.99046171,  0.74799150,  0.75229907
 0.0723337978,  0.0753091648,  0.7096629143,  0.99320704,  0.99379694,  0.98965424,  0.99056172,  0.74586588,  0.75015855
 0.0727358311,  0.0741016716,  0.6889798045,  0.99417114,  0.99462718,  0.99093640,  0.99169230,  0.75227869,  0.75670862
