train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
 0.4172274172,  0.2416283190,  0.4743756354,  0.93267465,  0.93196750,  0.92970198,  0.92966944,  0.75660193,  0.76175702
 0.1628527641,  0.2008965015,  1.0412484407,  0.91316652,  0.91819167,  0.90618092,  0.91167766,  0.65345681,  0.65620649
 0.1150686145,  0.1241107509,  0.7515118718,  0.95605677,  0.95794863,  0.95043772,  0.95278311,  0.71596354,  0.72046965
 0.0933748931,  0.0951096639,  0.4734252691,  0.96955830,  0.97018689,  0.96511626,  0.96625245,  0.85308212,  0.85534829
 0.0779179186,  0.0821066126,  0.5413417816,  0.96930063,  0.97067773,  0.96224248,  0.96413314,  0.82339591,  0.82713938
 0.0672528967,  0.0693644658,  0.4588079751,  0.97874147,  0.97879720,  0.97621363,  0.97663552,  0.85250568,  0.85523051
 0.0647160634,  0.0654137954,  0.4478069544,  0.98099393,  0.98093992,  0.97882217,  0.97908336,  0.85542387,  0.85808873
 0.0621153899,  0.0629502609,  0.4415719807,  0.98274440,  0.98257381,  0.98045802,  0.98059040,  0.85888243,  0.86139911
 0.0598219521,  0.0624045469,  0.4380972683,  0.98305094,  0.98308408,  0.98036963,  0.98070353,  0.86201680,  0.86433434
 0.0584120043,  0.0601339899,  0.4277376533,  0.98432153,  0.98407859,  0.98244762,  0.98246181,  0.86338580,  0.86569464
 0.0587063655,  0.0629137978,  0.4520049691,  0.98223346,  0.98267215,  0.97820318,  0.97899139,  0.85971105,  0.86210996
 0.0582492463,  0.0611245036,  0.4330541492,  0.98401946,  0.98391116,  0.98187286,  0.98206300,  0.85672081,  0.85937369
 0.0618702881,  0.0625479743,  0.4511596262,  0.98272216,  0.98313028,  0.97851270,  0.97928268,  0.86237705,  0.86462283
 0.0585551485,  0.0607259907,  0.4369149804,  0.98410386,  0.98412722,  0.98125386,  0.98156995,  0.85917068,  0.86168665
 0.0579437688,  0.0599855073,  0.4315092564,  0.98439264,  0.98425174,  0.98235917,  0.98249251,  0.85953093,  0.86204207
 0.0591705926,  0.0593157783,  0.4302908778,  0.98480582,  0.98461866,  0.98302239,  0.98311341,  0.86464673,  0.86687791
 0.0583003350,  0.0610751063,  0.4338726103,  0.98407274,  0.98403001,  0.98151916,  0.98176092,  0.85708112,  0.85971051
 0.0587597005,  0.0610126927,  0.4396579266,  0.98380619,  0.98393673,  0.98076755,  0.98115587,  0.86126024,  0.86363459
 0.0580958948,  0.0599903762,  0.4329794049,  0.98430377,  0.98418456,  0.98235917,  0.98251963,  0.85999930,  0.86248118
 0.0591323562,  0.0604855977,  0.4327128232,  0.98417938,  0.98403943,  0.98227078,  0.98240209,  0.85517168,  0.85792094
 0.0568728447,  0.0614900067,  0.4381209016,  0.98360628,  0.98372024,  0.98072332,  0.98109001,  0.85931474,  0.86179602
 0.0586688705,  0.0610980317,  0.4358364940,  0.98395282,  0.98395479,  0.98107702,  0.98137432,  0.85751343,  0.86011273
 0.0577298999,  0.0616769083,  0.4409045875,  0.98354852,  0.98374981,  0.98045802,  0.98095834,  0.86025149,  0.86267173
 0.0593466349,  0.0604249351,  0.4356805682,  0.98419273,  0.98409104,  0.98200548,  0.98217922,  0.85427099,  0.85706043
 0.0599866733,  0.0593796223,  0.4280169606,  0.98491246,  0.98460156,  0.98280132,  0.98276591,  0.85726124,  0.85995042
